Year,Annual PPT,Max Daily PPT
1890,1930.8,128.8
1891,1810.7,208.7
1892,1316.3,55.9
1893,1316.5,87.1
1894,1025.1,50
1895,1195.2,75.2
1896,1550.8,108.1
1897,1454,129.7
1898,1540.7,104.7
1899,1478.6,84.5
1900,1802.7,124.6
1901,1714.5,106.7
1902,1738.8,68.6
1903,1457,76.1
1904,1517.9,185.6
1905,2211.3,257.6
1906,1608.9,80.6
1907,1502.6,115.9
1908,1721.3,79.2
1909,1799,109.5
1910,1718.3,138.9
1911,1748.2,108.8
1912,1592.4,102.2
1913,1261.4,88.7
1914,1820.3,101.7
1915,1901,132.4
1916,1676.8,82.3
1917,1676.7,87.3
1918,1838,101.6
1919,1314.8,83.4
1920,1369.3,59.3
1921,1607.6,89.5
1922,1576.4,142.3
1923,2145.2,128
1924,1287.4,108.5
1925,1375,207.4
1926,1286.6,69.5
1927,1800.2,108.3
1928,1678.2,150.7
1929,1188.3,61.3
1930,1363.9,96.7
1931,1723.1,68.8
1932,1408,72.9
1933,1605.3,90.3
1934,1364.6,150.1
1935,1896.3,171.9
1936,1693.8,90.3
1937,1673.6,97
1938,1510,104.8
1939,999.8,82.9
1940,1539.3,109
1941,2250.5,269.6
1942,1600.8,128.6
1943,1388.2,162.7
1944,1225.7,151.9
1945,2192.4,189
1946,1632.5,99.6
1947,1599.4,130
1948,1933.8,154.5
1949,1821.8,115.9
1950,1646.6,119.6
1951,1883.1,171.9
1952,1632.5,89.4
1953,2440.5,307.8
1954,2182.8,216.5
1955,1645,215.8
1956,1955,152.6
1957,1923.5,143.8
1958,1698.1,82.6
1959,1589.4,182.9
1960,1600.9,174.7
1961,1376.8,116.5
1962,1747.7,117.7
1963,2300.6,229.3
1964,1388.9,68
1965,1540.2,90.2
1966,1440.4,139
1967,1345.4,104.1
1968,1413,82.5
1969,1411,98
1970,1407.5,76.5
1971,1195.5,65
1972,2351,152.5
1973,1402.5,89.5
1974,1287.5,56.5
1975,1335.5,92.5
1976,1907.5,81
1977,1353.5,68
1978,1138,126
1979,1742.5,157.5
1980,2976.5,190.5
1981,1699.5,110.5
1982,1778.5,121
1983,1721,233
1984,1170,68
1985,2024.5,186
1986,1569,124
1987,1876,152
1988,1355,129
1989,1544.5,105
1990,1254.5,113.5
1991,2085.5,145.5
1992,1438,79
1993,2049.5,107.5
1994,891,143
1995,1593,135
1996,1275.5,115
1997,2083,133.5
1998,1865.5,123.5
1999,1661.5,153.5
2000,1344,102
2001,1942.5,212.5
2002,1371.5,163.5
2003,1600.5,75
2004,1741.5,79
2005,1020,67
2006,2018,115.5
2007,1195,111
2008,1780.5,82.5
2009,1692,187
2010,1729,151
2011,1849,109
2012,1768.5,126.5
2013,1801.5,153.5
2014,1765.5,105
2015,1867.5,75.5
2016,2420.5,142
2017,1318.5,82.5
2018,1617,236
2019,1608.5,130.5
2020,2212.5,167